"Story","Title","Result","Date","Stability","Duration (s)"
"Product CRUD test with steps","This will create a new product","SUCCESS","2023-06-06T23:24:59.241+01:00[Europe/London]","0.0","8.37"
"Product CRUD test with steps","Update the product information and verify the updated information","SUCCESS","2023-06-06T23:25:07.829+01:00[Europe/London]","0.0","0.18"
