"Story","Title","Result","Date","Stability","Duration (s)"
"Product CRUD test with steps","This will create a new product","SUCCESS","2023-06-06T23:24:59.241+01:00[Europe/London]","0.0","8.37"
"Product CRUD test with steps","Verify if the product was added to the application ","SUCCESS","2023-06-06T23:25:07.651+01:00[Europe/London]","0.0","0.18"
